
Gurobi 11.0.1 (linux64) logging started Tue Feb 11 21:12:10 2025

Set parameter LogFile to value "ASAD6_solver_completo.log"
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "Ubuntu 22.04.4 LTS")

CPU model: AMD Ryzen 5 5500U with Radeon Graphics, instruction set [SSE2|AVX|AVX2]
Thread count: 6 physical cores, 12 logical processors, using up to 12 threads

Optimize a model with 122881 rows, 21680 columns and 549658 nonzeros
Model fingerprint: 0x6f08a766
Variable types: 12944 continuous, 8736 integer (0 binary)
Coefficient statistics:
  Matrix range     [9e-02, 1e+07]
  Objective range  [2e-04, 2e-04]
  Bounds range     [1e+00, 2e+06]
  RHS range        [1e+00, 1e+07]

User MIP start did not produce a new incumbent solution
User MIP start violates constraint rest_define_EstoqueEB06_PRDT_C2_d01_h02 by 597.891624732
MIP start from previous solve did not produce a new incumbent solution

Presolve removed 104471 rows and 11236 columns
Presolve time: 2.51s
Presolved: 18410 rows, 10444 columns, 177983 nonzeros
Variable types: 5223 continuous, 5221 integer (3346 binary)
Deterministic concurrent LP optimizer: primal and dual simplex
Showing primal log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   11827   -1.8892944e+02   0.000000e+00   4.960048e+03      5s
   20785   -1.6499472e+02   0.000000e+00   2.924770e+02     10s
Concurrent spin time: 0.00s

Solved with dual simplex

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   25803   -1.5778481e+02   0.000000e+00   0.000000e+00     13s

Root relaxation: objective -1.577848e+02, 25803 iterations, 9.89 seconds (9.52 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -189.43566    0 1905          - -189.43566      -     -   97s
     0     0 -189.45229    0 1933          - -189.45229      -     -   98s
     0     0 -189.45356    0 1940          - -189.45356      -     -   98s
     0     0 -189.62444    0 2040          - -189.62444      -     -  100s
     0     0 -189.67376    0 2034          - -189.67376      -     -  101s
     0     0 -189.68020    0 1851          - -189.68020      -     -  102s
     0     0 -189.80396    0 1868          - -189.80396      -     -  104s
     0     0 -189.84662    0 1869          - -189.84662      -     -  105s
     0     0 -189.85014    0 1902          - -189.85014      -     -  105s
     0     0 -190.10576    0 1913          - -190.10576      -     -  108s
     0     0 -190.29693    0 1887          - -190.29693      -     -  110s
     0     0 -190.30292    0 1876          - -190.30292      -     -  111s
     0     0 -190.57356    0 1826          - -190.57356      -     -  112s
     0     0 -190.62123    0 1750          - -190.62123      -     -  113s
     0     0 -190.62901    0 1825          - -190.62901      -     -  114s
     0     0 -190.62999    0 1816          - -190.62999      -     -  114s
     0     0 -190.74184    0 1822          - -190.74184      -     -  116s
     0     0 -190.75415    0 1684          - -190.75415      -     -  117s
     0     0 -190.76150    0 1786          - -190.76150      -     -  118s
     0     0 -190.76404    0 1719          - -190.76404      -     -  118s
     0     0 -190.80719    0 1851          - -190.80719      -     -  120s
     0     0 -190.81714    0 1759          - -190.81714      -     -  120s
     0     0 -190.81747    0 1784          - -190.81747      -     -  120s
     0     0 -190.86241    0 1685          - -190.86241      -     -  122s
     0     0 -191.08541    0 1367          - -191.08541      -     -  127s
     0     2 -191.08541    0 1363          - -191.08541      -     -  132s
     1     2 -191.28970    1 1482          - -191.28970      -  5885  139s
     3     4 -198.55747    2 1568          - -192.42563      -  8079  142s
     9     8 -200.56125    4 1749          - -199.49481      -  4253  146s
